symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
AAL,American Airlines Group Inc. Common Stock,2514,2016-07-18,2026-07-17,48.369111655753066,836483111.4121914,9907549352.0,低波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－低波动
AAPL,Apple Inc. Common Stock,2514,2016-07-18,2026-07-17,24.44762656435877,12262379510.047913,4901758191440.0,低波动,高流动性,超大盘（≥200B）,历史≥1年,高流动性－低波动
ABNB,"Airbnb, Inc. Class A Common Stock",1405,2020-12-10,2026-07-17,30.082715731605763,518086996.7399597,87982864660.0,低波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－低波动
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,2514,2016-07-18,2026-07-17,37.042706477686394,37089100.959300995,4383638272.0,低波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－低波动
ACGL,Arch Capital Group Ltd. Common Stock,2514,2016-07-18,2026-07-17,20.86909658330793,191020287.6888275,35410634744.0,低波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－低波动
ACIW,"ACI Worldwide, Inc. Common Stock",2514,2016-07-18,2026-07-17,34.28828706129369,33575150.29067993,5903487370.0,低波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－低波动
ACT,"Enact Holdings, Inc. Common Stock",1213,2021-09-16,2026-07-17,22.090907282676923,11399581.888961792,6494226657.0,低波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－低波动
ADBE,Adobe Inc. Common Stock,2514,2016-07-18,2026-07-17,36.05388300873687,1318566193.6965942,94306875000.0,低波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－低波动
ADI,"Analog Devices, Inc. Common Stock",2514,2016-07-18,2026-07-17,35.05131928831298,1078955407.5286863,182832991334.0,低波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－低波动
ADP,"Automatic Data Processing, Inc. Common Stock",2514,2016-07-18,2026-07-17,25.735393572381632,568076848.034668,102781013576.0,低波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－低波动
ADSK,"Autodesk, Inc. Common Stock",2514,2016-07-18,2026-07-17,33.88618788897694,445576095.5673218,46071850000.0,低波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－低波动
ADUS,Addus HomeCare Corporation Common Stock,2514,2016-07-18,2026-07-17,30.875416199585988,19969161.71684265,2137490148.0,低波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－低波动
AEP,"American Electric Power Company, Inc. Common Stock",2514,2016-07-18,2026-07-17,18.99586950898572,409468952.3262024,71898038928.0,低波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－低波动
AGNC,AGNC Investment Corp. Common Stock,2514,2016-07-18,2026-07-17,20.27850073992265,187242924.3388176,12879766432.0,低波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－低波动
AHCO,AdaptHealth Corp. Common Stock,2043,2018-05-31,2026-07-17,46.780628859838664,10074994.225883484,1491153506.0,低波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－低波动
ALKS,Alkermes plc Ordinary Shares,2514,2016-07-18,2026-07-17,42.27260940565956,62554635.811042786,8787148545.0,低波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－低波动
ALKT,"Alkami Technology, Inc. Common Stock",1321,2021-04-14,2026-07-17,50.56332129343517,27719764.682769775,1916713406.0,低波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－低波动
ALNY,"Alnylam Pharmaceuticals, Inc. Common Stock",2514,2016-07-18,2026-07-17,37.89597253256199,410088577.8579712,35710607900.0,低波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－低波动
ALRM,"Alarm.com Holdings, Inc. Common Stock",2514,2016-07-18,2026-07-17,31.062039327250343,19648002.883148193,2631303016.0,低波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－低波动
AMGN,Amgen Inc. Common Stock,2514,2016-07-18,2026-07-17,27.297570335807247,802687676.0925293,197689743683.0,低波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－低波动
AMRX,"Amneal Pharmaceuticals, Inc. Class A Common Stock",2060,2018-05-07,2026-07-17,32.915562403454025,19719285.261535645,5694556837.0,低波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－低波动
AMZN,"Amazon.com, Inc. Common Stock",2514,2016-07-18,2026-07-17,31.183050614809076,9858897558.968351,2659480165862.0,低波动,高流动性,超大盘（≥200B）,历史≥1年,高流动性－低波动
ANDE,"Andersons, Inc. (The) Common Stock",2514,2016-07-18,2026-07-17,34.80881989086351,17178185.56289673,2698443397.0,低波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－低波动
APA,APA Corporation Common Stock,2514,2016-07-18,2026-07-17,45.5947805956614,173019363.15422058,12449221395.0,低波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－低波动
APEI,"American Public Education, Inc. Common Stock",2514,2016-07-18,2026-07-17,44.62411846672701,10070847.212791445,930198276.0,低波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－低波动
APPF,"AppFolio, Inc. Class A Common Stock",2514,2016-07-18,2026-07-17,44.950076963286755,61858403.0128479,6354989136.0,低波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－低波动
ARCB,ArcBest Corporation Common Stock,2514,2016-07-18,2026-07-17,49.45323197939325,27733510.68344116,3557974682.0,低波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－低波动
ARCC,Ares Capital Corporation Common Stock,2514,2016-07-18,2026-07-17,19.639566553634477,102893497.63174056,13764497939.0,低波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－低波动
ASO,"Academy Sports and Outdoors, Inc. Common Stock",1453,2020-10-02,2026-07-17,42.83373187229353,75300285.35957336,3001068973.0,低波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－低波动
ATRC,"AtriCure, Inc. Common Stock",2514,2016-07-18,2026-07-17,47.130591948774864,18563320.693969727,1769901902.0,低波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－低波动
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares,2514,2016-07-18,2026-07-17,43.65296773282194,17418252.210521698,2073815651.0,低波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－低波动
